date,score
Sun Dec 17 23:03:28 UTC 2017,23.97
Sun Dec 17 23:03:37 UTC 2017,23.97
Sun Dec 17 23:03:43 UTC 2017,23.98
Sun Dec 17 23:03:51 UTC 2017,23.97
Sun Dec 17 23:03:59 UTC 2017,23.97
Sun Dec 17 23:04:06 UTC 2017,23.97
Sun Dec 17 23:04:13 UTC 2017,23.97
Sun Dec 17 23:04:19 UTC 2017,23.97
Sun Dec 17 23:04:32 UTC 2017,23.97
Sun Dec 17 23:04:39 UTC 2017,23.97
Sun Dec 17 23:04:45 UTC 2017,23.97
Sun Dec 17 23:04:52 UTC 2017,23.97
Sun Dec 17 23:05:05 UTC 2017,23.97
Sun Dec 17 23:05:12 UTC 2017,23.98
Sun Dec 17 23:05:17 UTC 2017,23.98
Sun Dec 17 23:05:25 UTC 2017,23.98
Sun Dec 17 23:05:34 UTC 2017,23.98
Sun Dec 17 23:05:41 UTC 2017,23.98
Sun Dec 17 23:05:46 UTC 2017,23.98
Sun Dec 17 23:05:53 UTC 2017,23.98
Sun Dec 17 23:06:01 UTC 2017,23.98
Sun Dec 17 23:06:09 UTC 2017,23.98
Sun Dec 17 23:06:16 UTC 2017,23.98
Sun Dec 17 23:06:24 UTC 2017,23.98
Sun Dec 17 23:06:33 UTC 2017,23.98
Sun Dec 17 23:06:40 UTC 2017,23.98
Sun Dec 17 23:06:46 UTC 2017,23.98
Sun Dec 17 23:06:52 UTC 2017,23.98
Sun Dec 17 23:06:59 UTC 2017,23.98
Sun Dec 17 23:07:06 UTC 2017,23.99
Sun Dec 17 23:07:12 UTC 2017,23.99
Sun Dec 17 23:07:18 UTC 2017,23.99
Sun Dec 17 23:07:24 UTC 2017,23.99
Sun Dec 17 23:07:31 UTC 2017,23.99
Sun Dec 17 23:07:38 UTC 2017,23.99
Sun Dec 17 23:07:46 UTC 2017,23.99
Sun Dec 17 23:07:53 UTC 2017,23.99
Sun Dec 17 23:08:01 UTC 2017,23.99
Sun Dec 17 23:08:08 UTC 2017,23.99
Sun Dec 17 23:08:15 UTC 2017,23.99
Sun Dec 17 23:08:21 UTC 2017,23.99
Sun Dec 17 23:08:32 UTC 2017,23.99
Sun Dec 17 23:08:41 UTC 2017,23.99
Sun Dec 17 23:08:50 UTC 2017,23.99
Sun Dec 17 23:08:57 UTC 2017,23.99
Sun Dec 17 23:09:03 UTC 2017,24
Sun Dec 17 23:09:10 UTC 2017,24
Sun Dec 17 23:09:44 UTC 2017,24
Sun Dec 17 23:09:51 UTC 2017,24
Sun Dec 17 23:10:09 UTC 2017,24
Sun Dec 17 23:10:15 UTC 2017,24
Sun Dec 17 23:10:35 UTC 2017,24
